city,timestamp,temperature,season
New York,2010-01-01,3.1791835694092847,winter
New York,2010-01-02,-0.23302306991369273,winter
New York,2010-01-03,0.16774512261634184,winter
New York,2010-01-04,10.447991000801927,winter
New York,2010-01-05,8.897195013538365,winter
New York,2010-01-06,-2.1525972000271603,winter
New York,2010-01-07,-13.245521324167877,winter
New York,2010-01-08,3.8664213020684617,winter
New York,2010-01-09,11.307896734977628,winter
New York,2010-01-10,0.6187057374269967,winter
New York,2010-01-11,-2.4971302121509966,winter
New York,2010-01-12,5.2972024455633555,winter
New York,2010-01-13,-1.32675822725407,winter
New York,2010-01-14,-1.3081978448945808,winter
New York,2010-01-15,-2.413405459749163,winter
New York,2010-01-16,-4.615595036780341,winter
New York,2010-01-17,-3.4794009149771554,winter
New York,2010-01-18,-3.0137029854597497,winter
New York,2010-01-19,-2.143472252247478,winter
New York,2010-01-20,-4.747184980033307,winter
New York,2010-01-21,-2.3440181173444987,winter
New York,2010-01-22,-6.091851537778416,winter
New York,2010-01-23,7.079408048073149,winter
New York,2010-01-24,-7.243837284159856,winter
New York,2010-01-25,5.657418052611646,winter
New York,2010-01-26,-2.0683845631825175,winter
New York,2010-01-27,-2.7243875536972375,winter
New York,2010-01-28,11.329675001608972,winter
New York,2010-01-29,3.424921027217491,winter
New York,2010-01-30,-4.490073521486828,winter
New York,2010-01-31,2.765316742195349,winter
New York,2010-02-01,6.281769385905111,winter
New York,2010-02-02,-1.730903184308243,winter
New York,2010-02-03,4.1708515579925285,winter
New York,2010-02-04,-7.382575089154239,winter
New York,2010-02-05,9.554699158363603,winter
New York,2010-02-06,3.566032267173876,winter
New York,2010-02-07,2.091671318729075,winter
New York,2010-02-08,-0.6868615516048217,winter
New York,2010-02-09,2.3715762245159633,winter
New York,2010-02-10,-1.441448389497909,winter
New York,2010-02-11,8.570572352134143,winter
New York,2010-02-12,10.074319248032516,winter
New York,2010-02-13,7.6412108486116885,winter
New York,2010-02-14,2.425272842145891,winter
New York,2010-02-15,-11.43974692154282,winter
New York,2010-02-16,4.582106991222554,winter
New York,2010-02-17,-4.694933945307694,winter
New York,2010-02-18,1.3620117904684954,winter
New York,2010-02-19,2.5516627150014677,winter
New York,2010-02-20,0.17552040709545497,winter
New York,2010-02-21,10.006066028905432,winter
New York,2010-02-22,3.12562224464356,winter
New York,2010-02-23,7.67515330803814,winter
New York,2010-02-24,2.7693038600830326,winter
New York,2010-02-25,-3.2723144537303286,winter
New York,2010-02-26,-5.333881362657596,winter
New York,2010-02-27,1.135800654711328,winter
New York,2010-02-28,0.2669757692295941,winter
New York,2010-03-01,17.704118915917434,spring
New York,2010-03-02,13.364581095901983,spring
New York,2010-03-03,5.868816542716083,spring
New York,2010-03-04,11.504845955749344,spring
New York,2010-03-05,12.320694856041468,spring
New York,2010-03-06,8.860720424059375,spring
New York,2010-03-07,-0.2855429360919204,spring
New York,2010-03-08,16.47308640469772,spring
New York,2010-03-09,6.578229384735773,spring
New York,2010-03-10,25.269951806408045,spring
New York,2010-03-11,5.475532415128704,spring
New York,2010-03-12,8.290651276681103,spring
New York,2010-03-13,16.017354728579868,spring
